Sr. No.,OD,Count,Corrected OD,Zone No,Match Status
1,Saket,943,Saket,16,Alias Match
2,Lajpat Nagar,690,Lajpat Nagar,6,Alias Match
3,Khanpur,546,Khanpur,26,Alias Match
4,Sangam Vihar,415,Sangam Vihar,292,Alias Match
5,Chirag Delhi,310,Chirag Delhi,11,Alias Match
6,Nehru Place,242,Nehru Place,13,Alias Match
7,Badarpur Border,235,Badarpur Border,283,Alias Match
8,Greater Kailash,206,Greater Kailash,9,Alias Match
9,Dakshinpuri,196,Dakshinpuri,18,Alias Match
10,Mehrauli,193,Mehrauli,278,Alias Match
11,Malviya Nagar,188,Malviya Nagar,11,Alias Match
12,Hauz Khas,173,Hauz Khas,8,Alias Match
13,Chhatarpur,164,Chhatarpur,282,Alias Match
14,Okhla,157,Okhla,287,Alias Match
15,Lado Sarai,150,Ladosarai,20,AI Match (94%)
16,Rk Puram,149,R.K. Puram,216,Alias Match
17,Badarpur,139,Badarpur,283,Alias Match
18,Ambedkar Nagar,128,Ambedkar Nagar,18,Alias Match
19,Anand Vihar,114,Anand Vihar,151,Alias Match
20,Noida,105,Noida,Outside,Outside Delhi
21,Kashmiri Gate,102,Kashmere Gate,133,AI Match (84%)
22,Moolchand,102,Nill,-,Unmatched
23,Defence Colony,101,Defence Colony,14,Alias Match
24,Kalkaji,98,Kalkaji,13,Alias Match
25,Madan Giri,93,Nill,-,Unmatched
26,Green Park,89,Green Park,8,Alias Match
27,Gurugram,82,Gurugram,Outside,Outside Delhi
28,Aiims Hospital,78,AIIMS (Ansari Nagar),218,Alias Match
29,Chattarpur,78,Chhatarpur,290,AI Match (90%)
30,Hamdard Nagar,75,Ambedkar Nagar,22,AI Match (81%)
31,Sarojini Nagar,74,Sarojini Nagar,213,Alias Match
32,Madangiri,73,Madangir,21,Sub-Ward Match
33,Madangir,71,Madangir,18,Alias Match
34,Tigri,71,Tigri,26,Alias Match
35,Mehrauli Terminal,69,Mehrauli,278,Alias Match
36,South Extension,64,South Extension,12,Alias Match
37,Aashram,64,Ashram Chowk,14,AI Match (92%)
38,Kotla,60,Kotla Mubarakpur,2,Sub-Ward Match
39,Devli,59,Deoli,26,Alias Match
40,Jangpura,59,Jungpura,14,AI Match (87%)
41,Nizamuddin,59,Hazrat Nizamuddin,14,Alias Match
42,Chirag,59,Chirag Delhi,14,Sub-Ward Match
43,Rk Puram Sector 1,58,R.K. Puram,216,Alias Match
44,Prem Nagar,58,Prem Nagar,73,Exact Ward Match
45,Aiims,57,AIIMS (Ansari Nagar),218,Alias Match
46,Mayur Vihar,57,Mayur Vihar,234,Alias Match
47,Sarai Kale Khan,55,Nill,-,Unmatched
48,Humdard Nagar,55,Hari Nagar,206,AI Match (78%)
49,Lado Sarai Firni Road,54,Nill,-,Unmatched
50,Vasant Vihar,54,Vasant Vihar,269,Alias Match
51,Dhaula Kuan,53,Dhaula Kuan,215,Alias Match
52,Ghaziabad,51,Ghaziabad,Outside,Outside Delhi
53,Panchsheel Park,49,Panchsheel Park,11,Alias Match
54,Kanpur,49,Khanpur,24,AI Match (92%)
55,India Gate,47,IIT Gate Junction,8,AI Match (77%)
56,Kalka Ji,46,Nill,-,Unmatched
57,Pushp Vihar,45,Pushp Vihar,16,Alias Match
58,Kapashera Border,45,Kapashera,275,Sub-Ward Match
59,Faridabad,42,Faridabad,Outside,Outside Delhi
60,Vijay Nagar,42,Vikas Nagar,195,AI Match (81%)
61,Nizamuddin Railway Station,41,Hazrat Nizamuddin Railway Station,14,Alias Match
62,Nizamuddin Station,40,Hazrat Nizamuddin,14,Alias Match
63,Uttam Nagar,40,Uttam Nagar,225,Alias Match
64,Sector 62 Noida,40,Sector 62 Noida,Outside,Outside Delhi
65,Sheikh Sarai,39,Sheikh Sarai,11,Alias Match
66,Safdarjung,38,Safdarjung Hospital / Enclave,218,Alias Match
67,Ambedkar,36,Ambedkar Nagar,22,Sub-Ward Match
68,Greater Noida,35,Greater Noida,Outside,Outside Delhi
69,Lodhi Road,34,Lodhi Road,212,Alias Match
70,Kailash Colony,34,Kailash Colony,9,Alias Match
71,Aandh Vihar,34,Anand Vihar,151,AI Match (90%)
72,Laxmi Nagar,32,Laxmi Nagar,228,Alias Match
73,Ghitorni,32,Ghitorni,282,Alias Match
74,Mandi Village,31,Ali Village,283,AI Match (83%)
75,Vasant Kunj,31,Vasant Kunj,274,Alias Match
76,Qutub Minar,31,Mehrauli (Qutub Minar),278,Alias Match
77,Sultanpur,31,Sultanpur (Mehrauli),282,Alias Match
78,Gautam Nagar,30,Uttam Nagar,223,AI Match (86%)
79,Sarita Vihar,30,Sarita Vihar,273,Alias Match
80,Sangham Vihar,30,Sangam Vihar,292,AI Match (96%)
81,Lajpat Nagar Ring Road,30,Lajpat Nagar,6,Alias Match
82,Delhi Chirag,30,Chirag Delhi,14,AI Match (100%)
83,Jasola Vihar,29,Jasola Vihar,273,Alias Match
84,Mahipalpur,28,Mahipalpur,277,Exact Ward Match
85,Lodhi Garden,27,Mohan Garden,209,AI Match (75%)
86,Madhan Gate,27,Nill,-,Unmatched
87,Janakpuri,26,Janakpuri,205,Alias Match
88,Sadar Bazar,26,Bazar Sitaram,177,AI Match (75%)
89,Moti Bagh,26,Moti Bagh,217,Alias Match
90,Badarpur Border Terminal,26,Badarpur,283,Alias Match
91,Firani Road,26,Nill,-,Unmatched
92,Dwarka,25,Dwarka,246,Alias Match
93,Loni,25,Nill,-,Unmatched
94,Sainik Farm,25,Nill,-,Unmatched
95,Amar Colony,24,Amar Colony,6,Alias Match
96,Nehru Nagar,24,Sunder Nagar,212,AI Match (78%)
97,Sector 22 Noida,24,Sector 22 Noida,Outside,Outside Delhi
98,Chandni Chowk,23,Chandni Chowk,153,Alias Match
